"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"47I05" 0.0301205415874709 0.0778925189091523 5.55066658081481 6.06634092202462e-06 0.00196981460014477 1.84712592763205
"18C05" -0.0296188848979785 0.0658077470646717 -5.5485598338942 6.10128520339771e-06 0.00196981460014477 1.84134682110131
"09B23" -0.00765451870503461 0.0207009042212481 -5.53882589597252 6.26538969976077e-06 0.00196981460014477 1.81464396997662
"01G23" -0.0257185634845646 0.0542288287984697 -5.53644385923027 6.30622054748958e-06 0.00196981460014477 1.80810907906075
"31P04" -0.0107994414108923 0.0314980147365289 -5.53205381054222 6.38217389787264e-06 0.00196981460014477 1.79606508283425
"63G11" -0.00328321595493246 0.00703140742365215 -5.52938101912591 6.42886672756991e-06 0.00196981460014477 1.78873214391549
"18C03" -0.020869081935926 0.0562082211282736 -5.52761919804307 6.45983302598833e-06 0.00196981460014477 1.7838984173905
"72N21" -0.00435577635901141 0.00919537301036357 -5.52453685988568 6.51437058507716e-06 0.00196981460014477 1.77544157145616
"01B24" -0.0427352924517021 0.079991888222137 -5.522313993992 6.55398834680069e-06 0.00196981460014477 1.76934269375668
"18A09" -0.0318551409853766 0.0781750940101858 -5.51872236871976 6.61851427580988e-06 0.00196981460014477 1.75948814124802
"01I24" -0.0363916157368945 0.0724705996188717 -5.51410601403639 6.70238989030299e-06 0.00196981460014477 1.74682160447549
"72L03" 0.0376178847542433 0.0877092745711025 5.51174553302834 6.74569043652085e-06 0.00196981460014477 1.7403446630879
"49F18" 0.0104089934143996 0.0156753748742265 5.51030619857753 6.77223154084287e-06 0.00196981460014477 1.73639521007225
"43H17" -0.0462436912025926 0.125645428281362 -5.50703835175762 6.83288085523168e-06 0.00196981460014477 1.72742827552867
"26L20" 0.0148836165082543 0.0475981581845486 5.50434415195954 6.883294411623e-06 0.00196981460014477 1.72003527102025
"54E05" 0.0320993035555967 0.0554645459943756 5.50186650135636 6.92998617648282e-06 0.00196981460014477 1.7132363683773
"86N14" -0.023768360139367 0.0830959319051267 -5.49467238912567 7.06737423029747e-06 0.00198709493090422 1.693494425828
"58I20" 0.0295504778699243 0.065854727220986 5.49154994487648 7.12785406180936e-06 0.00198709493090422 1.68492558834279
"18C11" -0.0148886806823569 0.0423196919050536 -5.47884223957722 7.379413572018e-06 0.0020001423351566 1.65005046016857
"45D06" -0.00432656043939729 0.0167434014496025 -5.47423504984784 7.47280631938743e-06 0.0020001423351566 1.63740579219512
"87J02" -0.0269848822164981 0.1130287484093 -5.47251187285516 7.50804166624202e-06 0.0020001423351566 1.63267635762223
"56B05" 0.00859366676488871 0.0113274947127851 5.4716385322021 7.52596340232982e-06 0.0020001423351566 1.63027936747284
"18C04" -0.0133149884289257 0.0305715023267255 -5.46473332050973 7.66918794309114e-06 0.0020001423351566 1.61132675432551
"18G11" -0.0177153208449296 0.0433260361142932 -5.46389042837242 7.68685749740704e-06 0.0020001423351566 1.60901323337055
"18K06" -0.0230580999356881 0.0575313627580965 -5.46331782116745 7.69888441423985e-06 0.0020001423351566 1.60744156859142
"45F19" -0.00916308487696973 0.0292855862226709 -5.45999971224823 7.76895074331685e-06 0.0020001423351566 1.59833408666438
"18A10" -0.0187254031963006 0.0613141691085102 -5.45874841592502 7.79553974658353e-06 0.0020001423351566 1.59489951045154
"87K16" -0.00485827736524118 0.00663211949416825 -5.45016630947905 7.98038521082229e-06 0.00202960796857343 1.57134261760597
"01D20" -0.0167480349594639 0.0387963559267006 -5.43795061098224 8.25112038780851e-06 0.00206931621140223 1.53781020139413
"21D11" -0.00448253726801828 0.019184072265278 -5.42959007302757 8.44171885415471e-06 0.00206931621140223 1.51485920560997
"66A04" -0.0071643947887458 0.0261816953581934 -5.42880674411012 8.4598019402426e-06 0.00206931621140223 1.5127088007544
"01N22" -0.0356019665533561 0.0710757585091886 -5.41190685965112 8.85955909809001e-06 0.00206931621140223 1.46631332337881
"29L20" 0.00798079944824917 0.0316774822089672 5.40986871073323 8.90903615250654e-06 0.00206931621140223 1.46071775911687
"66J23" -0.00664502644619528 0.0270078866246339 -5.40970273324478 8.91307754495902e-06 0.00206931621140223 1.46026208020414
"01H17" -0.0129283422193603 0.0349353503103005 -5.40414540769897 9.04946208105939e-06 0.00206931621140223 1.44500469667442
"13B11" 0.009049046879899 0.0284213771028684 5.40390818859777 9.05533022144637e-06 0.00206931621140223 1.4443534157843
"45L15" -0.00539076582150769 0.0195236869530342 -5.40381684488554 9.0575908303816e-06 0.00206931621140223 1.44410263307811
"03N17" -0.00602966618125046 0.0204377084259332 -5.40365413172376 9.06161912276145e-06 0.00206931621140223 1.44365590648873
"01G19" -0.018265061882882 0.0415747100960574 -5.402840428041 9.08179103128439e-06 0.00206931621140223 1.44142189124135
"01D15" -0.0166159626222621 0.034573531732953 -5.39901210589114 9.17730338502267e-06 0.00206931621140223 1.43091118841273
"88F15" -0.0311949852864983 0.1152244206343 -5.39726681077095 9.22118094093314e-06 0.00206931621140223 1.42611941595332
"36F21" -0.0296550752163633 0.106927021766955 -5.39726384876178 9.22125558618563e-06 0.00206931621140223 1.4261112836241
"69F12" 0.00755815345262628 0.0232807701881647 5.3933740164677 9.31980871113128e-06 0.00206931621140223 1.41543150771351
"01K20" -0.0210411775011448 0.0494423734486885 -5.39258742226524 9.3398662350039e-06 0.00206931621140223 1.41327184860819
"94J09" -0.0324554878339104 0.137599276100157 -5.39219622184655 9.3498576792223e-06 0.00206931621140223 1.41219777371225
"01D23" -0.0268580485049826 0.0574367304869706 -5.38884949620563 9.43577483841735e-06 0.0020725107567442 1.40300899406507
"12B17" 0.00820418771107597 0.0161344250998861 5.38520366608414 9.53027378450716e-06 0.00207752802882869 1.39299888867012
"18N05" -0.0174510038849439 0.0428626777005979 -5.37454337360934 9.81207694274613e-06 0.0021229966179182 1.3637290776856
"18B13" -0.0186904487584824 0.0525446402797793 -5.37001687523973 9.93425248799942e-06 0.00213350949914494 1.35130049617596
"44L11" -0.0357860288490908 0.147377863802522 -5.36359124747495 1.0110317328655e-05 0.00215535610521834 1.333657179433
"18H03" -0.0110361967268088 0.0344329322830783 -5.35605545713694 1.03207994899863e-05 0.00218416744243191 1.31296530629645
"66N05" -0.0307596110204042 0.135727313349745 -5.35053297445489 1.04778379303029e-05 0.00220133300806719 1.29780141539793
"67B03" 0.0139185642838866 0.0545427723387531 5.33954336286419 1.07975177203276e-05 0.00221465688731329 1.26762523105286
"18A07" -0.0114700316697802 0.0319547117807604 -5.33851648633197 1.08278847425677e-05 0.00221465688731329 1.26480552509192
"18A18" -0.0218462350292582 0.0526441262925841 -5.3377840650579 1.08495964627956e-05 0.00221465688731329 1.26279436326859
"18C19" -0.0276594489655228 0.0719640157603567 -5.33651365526312 1.08873599335704e-05 0.00221465688731329 1.25930592998097
"13A19" 0.0295804579492356 0.0754049466712087 5.33527986369512 1.09241612665524e-05 0.00221465688731329 1.25591804217923
"18D06" -0.043315415454882 0.0906400100104116 -5.33186111570235 1.10267891471978e-05 0.00221465688731329 1.24653042402925
