"groupCD" "groupUC" "AveExpr" "F" "P.Value" "adj.P.Val"
"03N17" -0.00602966618125046 -0.00510841962940067 0.0504236754104521 17.7021437765944 1.05275604713588e-05 0.00257934737185118
"45K09" -0.00458935134157074 -0.00417660051617244 0.0261108227421524 17.6907879439782 1.05806516677117e-05 0.00257934737185118
"13L11" 0.0367353311208896 0.0439828341449637 0.0572494177431681 17.655267579706 1.07485773604348e-05 0.00257934737185118
"70G15" 0.00967736345564815 0.00904304724811111 0.0199755835292851 17.6546541377839 1.07515024169168e-05 0.00257934737185118
"01D15" -0.0166159626222621 -0.0140417669694967 0.161785975669634 17.6385019504999 1.08288279772978e-05 0.00257934737185118
"01N23" -0.0257468335564934 -0.0238523149525304 0.0471818258969191 17.6210965573698 1.09128202697426e-05 0.00257934737185118
"41E09" -0.104236724731953 -0.0537632286875455 0.0219959514452141 17.6202339565485 1.09170009838187e-05 0.00257934737185118
"13A19" 0.0295804579492356 0.0257442665946746 0.0667188735707955 17.6189745030001 1.09231081805758e-05 0.00257934737185118
"67B03" 0.0139185642838866 0.0120813980372538 0.0282668532833839 17.6100093916604 1.09666866358512e-05 0.00257934737185118
"48P04" 0.0264951365106254 0.0182928547591215 0.0279363451667273 17.5783729902421 1.11219619616853e-05 0.00257934737185118
"01K20" -0.0210411775011448 -0.0177224697364623 0.132715218972467 17.5533556437808 1.12464172334818e-05 0.00257934737185118
"47I05" 0.0301205415874709 0.0232191680827508 0.0248107038618839 17.5411167108595 1.13078455896524e-05 0.00257934737185118
"93G05" 0.0194745107409772 0.027447212638973 0.0395043621732542 17.5259509028546 1.13844632001966e-05 0.00257934737185118
"18B15" -0.0248592868246066 -0.0136495142627575 0.0340016968489213 17.5198763700776 1.14153075098075e-05 0.00257934737185118
"03G22" -0.00397042908714649 -0.00664029325873907 0.049084319141071 17.5061877890649 1.14851418280432e-05 0.00257934737185118
"01N22" -0.0356019665533561 -0.0295801530437722 0.0765625053257496 17.505241682369 1.14899854078329e-05 0.00257934737185118
"18A09" -0.0318551409853766 -0.0248830231747473 0.0622446898190909 17.4769392627153 1.16358956274953e-05 0.00257934737185118
"06I18" -0.00518752075325877 -0.00459250583375083 0.0450015110317437 17.4634972078759 1.17058887369781e-05 0.00257934737185118
"82J05" -0.0599335750253649 -0.0326260757796364 0.0192540662904597 17.4343072193843 1.18594394181336e-05 0.00257934737185118
"18N09" -0.0101744975830397 -0.00928242448911784 0.0273439760591122 17.4186196805665 1.19428519910237e-05 0.00257934737185118
"66A14" -0.0090971998390186 -0.00848158800087042 0.0536178844883634 17.4168213475675 1.19524540186046e-05 0.00257934737185118
"87J05" -0.00480693062890519 -0.00345405799398751 0.0162687022474363 17.4041069390699 1.20205777306707e-05 0.00257934737185118
"72L03" 0.0376178847542433 0.0292950350048729 0.00568808062450952 17.4006804947155 1.20390076495473e-05 0.00257934737185118
"18C04" -0.0133149884289257 -0.0106521705894874 0.0808671591356709 17.3953169965817 1.20679172488708e-05 0.00257934737185118
"31P04" -0.0107994414108923 -0.00829786140729967 0.0138398906656431 17.3905477792579 1.20936860936754e-05 0.00257934737185118
"23J21" 0.0120631302494738 0.00720521900978471 0.0388740874277727 17.3550928405905 1.22871123924414e-05 0.00257934737185118
"06G20" -0.00515413487500657 -0.00584514522525759 0.0527183063043348 17.3497499382938 1.23165470150645e-05 0.00257934737185118
"18J06" -0.0300535091739765 -0.0198080601440762 0.0713688370615562 17.3491872150717 1.23196515108797e-05 0.00257934737185118
"14G21" 0.00715260457649831 0.00329420426757238 0.0525180954122498 17.3487761758476 1.23219197087575e-05 0.00257934737185118
"36L18" -0.0245767967858103 -0.018467495726313 0.0239348031395157 17.3407925699426 1.23660636942474e-05 0.00257934737185118
"79J16" 0.00319567764184972 0.0038245158369673 0.0215945514830329 17.2099586611593 1.31141416149856e-05 0.00263519072028282
"18A13" -0.0197424389395268 -0.0128195220952829 0.0788449594123618 17.1976384487658 1.31870425204974e-05 0.00263519072028282
"54C08" 0.0191806803398588 0.0168626579643855 0.0298816047291771 17.18682787203 1.32513682186622e-05 0.00263519072028282
"01B24" -0.0427352924517021 -0.0323078049101098 0.196512942828337 17.1708619013988 1.33469852772896e-05 0.00263519072028282
"91F13" 0.0147722502705691 0.0243950095453089 0.0263724681748067 17.1534123136766 1.34523332293087e-05 0.00263519072028282
"06N23" -0.00761213435791246 -0.00696974861998652 0.0776324804362086 17.106471103927 1.37401755781709e-05 0.00263519072028282
"86K02" -0.00477005493682834 -0.00554584728840741 0.0246365218709672 17.1048843694034 1.37500199316137e-05 0.00263519072028282
"18J18" -0.0216885347448292 -0.0148286046875171 0.246018700421967 17.1037133681566 1.37572898542508e-05 0.00263519072028282
"72K06" 0.0132692452519157 0.0165037779864996 0.0161945105899421 17.0911102551159 1.38357948307553e-05 0.00263519072028282
"01G19" -0.018265061882882 -0.0147212417407656 0.0454426139981126 17.086290217462 1.38659456403492e-05 0.00263519072028282
"26E24" 0.0298233526509113 0.0387081695736344 0.0229717744178036 17.0824097452819 1.38902703136009e-05 0.00263519072028282
"81D17" 0.0130237409131457 0.0145543799140107 0.0437351388682379 17.0797420452136 1.39070192537669e-05 0.00263519072028282
"01I24" -0.0363916157368945 -0.0273766386313564 0.0516018862068488 17.0735325318653 1.39460890152619e-05 0.00263519072028282
"66K08" 0.00654195604297688 0.00863786352360944 0.0196656844598314 17.0640638235178 1.40058918525099e-05 0.00263519072028282
"18C05" -0.0296188848979785 -0.0217115697722681 3.41303274166241 17.0540034202303 1.40697328089728e-05 0.00263519072028282
"01G23" -0.0257185634845646 -0.019008274674205 0.0536848392137498 17.0511273957558 1.40880406182126e-05 0.00263519072028282
"87N17" -0.00367918837299076 -0.00501414196241066 0.014992013560166 17.0260800862293 1.42485663680989e-05 0.00264004511993431
"66O22" -0.00969657651235688 -0.00816380720872726 0.0210304987571061 17.0187198716449 1.4296108847987e-05 0.00264004511993431
"35N22" -0.00716475081377106 -0.00616962385728959 0.0334149638665752 16.9746662417844 1.45842436252273e-05 0.00267620870522921
"18I05" -0.02422332973266 -0.0173374902377043 0.0403686537975783 16.927095230228 1.49023829619781e-05 0.00271738861142535
"45F19" -0.00916308487696973 -0.00701809068152527 0.0244513455156832 16.9092702368613 1.50234981457491e-05 0.00272235176087314
"28E23" 0.0244527996818405 0.0335558488082726 0.034100220202498 16.8513896260879 1.5424103411383e-05 0.00276996084139719
"01E22" -0.0212236215721318 -0.0174385509560838 0.0404927888442147 16.843823478031 1.54773102578672e-05 0.00276996084139719
"81B02" -0.00593218085781145 -0.00574592208034849 0.0210487892504085 16.8136773462922 1.56912647638298e-05 0.00277734224673411
"01H17" -0.0129283422193603 -0.0101502881965454 0.6689028518593 16.8110388011366 1.57101413604799e-05 0.00277734224673411
"83A03" 0.00803746767804714 0.0147974546003908 0.05747197031537 16.7723881682566 1.59894598817995e-05 0.00280481552749042
"18A12" -0.0143757202965501 -0.0096417885923121 0.346679435110905 16.7628742518516 1.6059027267389e-05 0.00280481552749042
"62N10" 0.0171898538005825 0.0246211374241469 0.0164462061755228 16.7473771906937 1.61730394683233e-05 0.00280781397188681
"66N20" -0.00437180343437389 -0.00439141792153439 0.0202247276648561 16.6870524370364 1.6625174761511e-05 0.0028691291182172
"18A07" -0.0114700316697802 -0.00923173155342422 0.0502222748478698 16.6665676680382 1.67817723238453e-05 0.00287774660723744
"51H17" -0.00417853358072019 -0.00361997516472224 0.0152418402491806 16.6472633867312 1.69307921261465e-05 0.00287774660723744
"18K06" -0.0230580999356881 -0.0171093876585571 0.0324107402452511 16.6378306776445 1.70041230261635e-05 0.00287774660723744
"63G11" -0.00328321595493246 -0.00231388241324904 0.0271332784076092 16.6232913831377 1.71178201486648e-05 0.00287774660723744
"18H03" -0.0110361967268088 -0.00874558102150842 0.0426538732419778 16.609069847035 1.72298204841175e-05 0.00287774660723744
"25H18" 0.00334603278160895 0.00396968235790394 0.0339987711277172 16.6039102231662 1.72706484206296e-05 0.00287774660723744
"54E05" 0.0320993035555967 0.0230206655546982 0.0172308976438931 16.5902904264113 1.73789200269644e-05 0.00287924016195302
"49B17" 0.021636606024914 0.0117132622776895 0.0128807549892511 16.5747550526163 1.75033079136059e-05 0.00288337162692714
"63J02" 0.0327490054833331 0.0499360975329627 0.0213620929697511 16.5385917662725 1.77965669943771e-05 0.00291511789190946
"68F02" 0.00819293149132063 0.00681374381294614 0.0245266498264734 16.4879615069277 1.82160177729431e-05 0.00295299093790856
"82M20" -0.00412739301393848 -0.00368558768158384 0.0554191697696296 16.4850838203324 1.82401740984659e-05 0.00295299093790856
"66A04" -0.0071643947887458 -0.00534345180746537 0.134065392605411 16.4728902311854 1.83429127865926e-05 0.00295299093790856
"90P24" 0.0171650277152563 0.0199383922422515 0.00541936118383447 16.4567467090701 1.847988667916e-05 0.00295299093790856
"87K16" -0.00485827736524118 -0.00355873781038829 0.0132277877393614 16.4486286559381 1.85491800034062e-05 0.00295299093790856
"90I09" -0.0448913526308081 -0.0234235477763637 0.0129082687458852 16.4381667876379 1.86388901333862e-05 0.00295299093790856
"01C20" -0.0112419600457857 -0.00976822616362961 0.0435847379473376 16.4112458293859 1.88718796897125e-05 0.0029550641078702
"60I13" -0.00407424517433383 -0.00500578970342907 0.0207407056575576 16.4107220559856 1.88764435471859e-05 0.0029550641078702
"18G03" -0.0186396234052052 -0.0115637598077203 0.0268972540272265 16.3766358860788 1.91760074561573e-05 0.0029550641078702
"43J18" -0.0290059869780245 -0.0192744429971109 0.0285272858124055 16.3674968529366 1.92571879833701e-05 0.0029550641078702
"18M18" -0.0278530588738165 -0.022742353990572 0.0495175882532384 16.3614802434271 1.93108334192922e-05 0.0029550641078702
"01K22" -0.0183271910965621 -0.015735861900451 0.0406167832489601 16.3557544785906 1.9362034282597e-05 0.0029550641078702
"01O21" -0.0209680305504889 -0.016861955606318 0.0415747100960574 16.3534418960656 1.93827550347064e-05 0.0029550641078702
"01E20" -0.0121985506593255 -0.0104702010039552 0.041988111561632 16.3440264921324 1.9467362625572e-05 0.0029550641078702
"18C11" -0.0148886806823569 -0.0104902415801347 0.0440053069484487 16.3189245085144 1.96948701638258e-05 0.0029603856863157
"01G22" -0.0166711304069448 -0.0144911039902782 0.0729910283791165 16.313958111363 1.97402187804767e-05 0.0029603856863157
"66N05" -0.0307596110204042 -0.0237097416281819 0.0116269003200726 16.2981711629123 1.98851151417751e-05 0.0029603856863157
"87D18" 0.0196487887065762 0.0292844345289708 0.194963025315782 16.2852374319708 2.0004672931055e-05 0.0029603856863157
"72M02" 0.0177758329207869 0.0180788594607752 0.0180310560754672 16.2706648147721 2.01403034698158e-05 0.0029603856863157
"18B13" -0.0186904487584824 -0.0141606214369323 0.0640001381022079 16.2563857754756 2.02741573707578e-05 0.0029603856863157
"45H19" -0.0412909295604341 -0.0211250329121211 0.0445209465464637 16.2560020943395 2.02777671755493e-05 0.0029603856863157
"05F23" -0.00493636456945913 -0.005787106882 0.0437614160815179 16.2376734432243 2.04510139292538e-05 0.0029603856863157
"60B19" -0.00727722974171717 -0.00629968739260606 0.0181090476562851 16.2358334898324 2.04684929641272e-05 0.0029603856863157
"87C01" -0.00674194830983167 -0.00533183347242426 0.0293344520789725 16.2208915601413 2.06110310307558e-05 0.0029603856863157
"47M02" 0.101717221790336 0.0482973672401302 0.0589459164288655 16.2142903142655 2.06743416696502e-05 0.0029603856863157
"01G24" -0.0332601572216971 -0.0275609557246036 0.0629909580779412 16.2070324500693 2.07441902218624e-05 0.0029603856863157
"69D14" 0.00804873464244481 0.0117618757970539 0.0257040797170351 16.1910219716742 2.08991679221129e-05 0.0029603856863157
"87M11" -0.00340041111494015 -0.00273166164522307 0.014618326568588 16.1843318578021 2.09642936087822e-05 0.0029603856863157
"35L12" -0.0199889788529039 -0.016509062926978 0.0230458315185783 16.1771933742897 2.10340237774992e-05 0.0029603856863157
"18C14" -0.0644722309688888 -0.0314162002328333 0.0321959469271189 16.152105369501 2.12810659552841e-05 0.0029806857258046
"18G11" -0.0177153208449296 -0.0122835733860407 0.0410925264466387 16.1179411128065 2.16224918876117e-05 0.00299953021841144
"18C06" -0.0257760475399799 -0.0156970177393983 0.0410444262029897 16.1179380043971 2.16225232176039e-05 0.00299953021841144
"01E18" -0.0147850802235615 -0.0125945252285934 0.0333272475029548 16.0743835074512 2.20663240751239e-05 0.00303505762842866
"53B02" -0.00550386476329967 -0.00463374471737374 0.036835061414995 16.0722810788803 2.20879922601472e-05 0.00303505762842866
"65P06" -0.00367704627611139 -0.00500585451860396 0.0438349041328296 16.0492452623091 2.23269039279404e-05 0.00304043436923009
"85D17" 0.0330312946454166 0.0529200488289586 0.00504506630356595 16.0464016598164 2.23565871958784e-05 0.00304043436923009
"05J24" -0.00657788245346054 -0.00677260417794614 0.0433183294482657 16.0382679203837 2.24417257619163e-05 0.00304043436923009
"79P09" 0.0360379784037228 0.0399208716755747 0.0434414851365682 16.018148322343 2.26538198007806e-05 0.0030548939417862
"01K18" -0.0169370755422702 -0.0151437102328258 0.046761363593453 15.9805810226773 2.3055610336169e-05 0.00307100017245962
"08K24" -0.0146756919930119 -0.0227708990611189 0.047928556812953 15.9793999538199 2.30683652305848e-05 0.00307100017245962
"18C03" -0.020869081935926 -0.0131822236407474 0.0464014780453027 15.9563061073048 2.33192907587142e-05 0.00307100017245962
"20I19" 0.0333966121734865 0.0462741460842507 0.0151590641035047 15.9463372908677 2.34285085514796e-05 0.00307100017245962
"12B17" 0.00820418771107597 0.00147367168625073 0.0497340828443975 15.9278306406451 2.36327217391318e-05 0.00307100017245962
"01M22" -0.0219686601578595 -0.0169181299795474 0.0549018751663093 15.9277389288176 2.36337384756516e-05 0.00307100017245962
"80F10" 0.00494755807470112 0.00636320544282911 0.0323001201899795 15.921083906635 2.37076426402542e-05 0.00307100017245962
"63H16" 0.00734629956680134 0.0103419206710393 0.0145042460875845 15.9198668490542 2.37211848433426e-05 0.00307100017245962
"01F23" -0.0292741153827824 -0.02293828210978 0.0445265929213433 15.8942692895475 2.40079370713284e-05 0.00307100017245962
"52E11" 0.00563200776018558 0.00561505831381698 0.0289243321938561 15.8848903436573 2.41139305650169e-05 0.00307100017245962
"43H17" -0.0462436912025926 -0.029378157774815 0.0279880890980285 15.8648907022506 2.43416284531954e-05 0.00307100017245962
